"Hotel_Name","Hotel_Country","Hotel_City","Hotel_lat","Hotel_lng","Businesses_100m","Businesses_1km","Businesses_5km","Room_Type_Level","Guest_Type","Trip_Type","Stay_Duration","Review_Date","Days_Since_Review","Is_Hotel_Holiday","Is_Reviewer_Holiday","Total_Number_of_Reviews","Review_Is_Positive","Review_Positivity_Rate","Reviewer_Nationality","Average_Score","Reviewer_Score","Total_Number_of_Reviews_Reviewer_Has_Given","Additional_Number_of_Scoring","Submitted_from_Mobile"
"Radisson Blu Hotel Amsterdam","Holanda","Amsterdam",52.3702469,4.8966743,"50","105","238","Other","Couple","Leisure trip",3,2015-11-15,627,"No","No",4593,"Yes",100,"Ireland ",8.6,10,19,827,"No"
"Excelsior Hotel Gallia Luxury Collection Hotel","Italia","Milan",45.4857027,9.2020127,"38","5","6","Other","Couple","Leisure trip",2,2016-07-31,368,"No","No",1345,"No",40.625,"Australia ",9.4,9.2,2,185,"Yes"
"Hotel Arena","Holanda","Amsterdam",52.3605759,4.9159683,"84","138","228","Duplex","Couple","Leisure trip",3,2016-10-03,304,"No","No",1403,"No",40,"Slovenia ",7.7,7.5,12,194,"Yes"
"Hilton London Euston","Gran Bretaña","London",51.5265189,-0.1303689,"20","116","103","Deluxe","Group","Leisure trip",1,2016-05-31,429,"No","No",843,"Yes",57.5758,"United Kingdom ",7.4,10,1,198,"Yes"
"Nhow Milan","Italia","Milan",45.4510425,9.1606536,"84","226","229","Other","Couple","Leisure trip",4,2016-01-07,574,"No","No",2286,"No",28.8136,"Canada ",8.6,9.6,1,162,"Yes"
"DoubleTree by Hilton London Ealing","Gran Bretaña","London",51.511521,-0.290706,"116","290","179","Other","Couple","Couple",1,2017-01-16,199,"No","No",1494,"Yes",100,"United Kingdom ",8.4,7.9,5,434,"Yes"
"Mercure Paris Centre Tour Eiffel","Francia","Paris",48.8548641,2.2923181,"95","17","72","Standard","Family","Leisure trip",2,2016-04-06,484,"No","No",2611,"No",20.5128,"Singapore ",8,9.2,2,333,"Yes"
"Crowne Plaza London Docklands","Gran Bretaña","London",51.5083537,0.0198855,"116","3","174","Other","Couple","Leisure trip",2,2017-06-27,37,"No","No",2768,"Yes",69.0476,"United Kingdom ",8.8,9.6,2,879,"Yes"
"Shepherd s Bush Boutique Hotel","Gran Bretaña","London",51.5054544,-0.2262216,"32","233","216","Other","Solo traveler","Leisure trip",3,2015-10-07,666,"No","No",1069,"No",12.5,"Mauritius ",8,7.5,3,227,"No"
"Club Quarters Hotel St Paul s","Gran Bretaña","London",51.5139298,-0.101126,"70","41","104","Other","Solo traveler","Business trip",1,2017-04-05,120,"No","No",4117,"No",33.3333,"Tunisia ",8.4,6.7,7,918,"Yes"
"Club Quarters Hotel Trafalgar Square","Gran Bretaña","London",51.506935,-0.126012,"63","132","106","Other","Couple","Leisure trip",2,2016-10-03,304,"No","No",2494,"No",48.3871,"France ",8.5,7.5,18,602,"No"
"NH Barcelona Stadium","España","Barcelona",41.3812574,2.1269078,"11","161","235","Other","Solo traveler","Solo traveler",1,2017-05-18,77,"No","No",1257,"Yes",100,"Portugal ",8.1,7.5,7,111,"No"
"Idea Hotel Milano San Siro","Italia","Milan",45.4720654,9.0777871,"2","166","199","Other","Couple","Leisure trip",1,2016-08-11,357,"No","No",5742,"Yes",72.7273,"Slovenia ",6.9,7.5,7,229,"No"
"Andaz London Liverpool Street","Gran Bretaña","London",51.5172825,-0.0812451,"56","73","45","Other","Couple","Leisure trip",5,2016-02-11,539,"No","No",1283,"Yes",66.6667,"Brazil ",9,10,1,346,"No"
"Blakemore Hyde Park","Gran Bretaña","London",51.5129736,-0.1837431,"33","288","33","Other","Solo traveler","Solo traveler",5,2016-09-15,322,"No","No",6596,"No",12.1429,"South Africa ",8.5,8.8,7,1198,"Yes"
"Mercure Paris Notre Dame Saint Germain des Pr s","Francia","Paris",48.8503074,2.3450612,"82","136","173","Standard","Couple","Leisure trip",2,2015-10-11,662,"No","No",268,"Yes",100,"New Zealand ",8,8.8,4,28,"Yes"
"Hotel Vueling Bcn by HC","España","Barcelona",41.3831641,2.1604736,"42","111","41","Other","Solo traveler","Business trip",3,2017-07-14,20,"No","No",1696,"No",50,"United Kingdom ",8.8,8.3,6,167,"Yes"
"Copthorne Tara Hotel London Kensington","Gran Bretaña","London",51.499046,-0.1917073,"62","5","10","Deluxe","Couple","Leisure trip",1,2015-12-11,601,"No","No",7105,"No",32,"United Kingdom ",8.1,7.5,3,1831,"No"
"Intercontinental London The O2","Gran Bretaña","London",51.5024348,-0.0002497,"2","6","182","Other","Couple","Leisure trip",1,2016-03-17,504,"No","No",4204,"Yes",71.4286,"United Kingdom ",9.4,10,1,1258,"Yes"
"Hotel Vondel Amsterdam","Holanda","Amsterdam",52.3625662,4.8779225,"35","50","233","Other","Family","Leisure trip",2,2016-11-02,274,"No","No",1952,"No",18.1818,"United States of America ",8,7.9,1,248,"Yes"
"Mercure London Paddington Hotel","Gran Bretaña","London",51.5161139,-0.1749521,"66","205","59","Other","Solo traveler","Business trip",1,2016-09-05,332,"No","No",1458,"No",25.8065,"Czech Republic ",7.6,8.8,7,317,"No"
"Park Grand London Kensington","Gran Bretaña","London",51.4938468,-0.1917582,"41","312","10","Other","Solo traveler","Business trip",1,2016-05-21,439,"No","No",4660,"Yes",51.3514,"United Kingdom ",8.4,9.2,1,989,"No"
"St James Court A Taj Hotel London","Gran Bretaña","London",51.4986732,-0.1376867,"41","91","101","Classic","Couple","Leisure trip",1,2015-12-08,604,"No","No",5394,"Yes",100,"United Kingdom ",8.7,9.2,9,1299,"No"
"Innkeeper s Lodge London Greenwich","Gran Bretaña","London",51.4801631,-0.0097201,"82","74","188","Standard","Couple","Leisure trip",2,2015-12-07,605,"No","No",1191,"No",15.7143,"Ireland ",8.2,6,7,253,"No"
"Ilunion Barcelona","España","Barcelona",41.3989322,2.2024183,"39","170","1","Other","Solo traveler","Business trip",3,2016-04-21,469,"No","No",3944,"Yes",93.1034,"United States of America ",7.9,7.9,1,396,"Yes"
"Courtyard by Marriott Amsterdam Arena Atlas","Holanda","Amsterdam",52.3101182,4.9472918,"36","31","96","Standard","Couple","Leisure trip",2,2015-11-21,621,"No","No",2179,"Yes",100,"Serbia ",8.4,8.8,8,237,"No"
"London Marriott Hotel West India Quay","Gran Bretaña","London",51.5072713,-0.0211213,"20","153","191","Deluxe","Couple","Leisure trip",1,2016-04-05,485,"No","No",2836,"No",0,"United Kingdom ",8.9,10,1,930,"No"
"Mercure Hotel Raphael Wien","Austria","Vienna",48.1919288,16.3391395,"106","321","238","Standard","Group","Leisure trip",1,2016-11-09,267,"No","No",1264,"Yes",100,"Austria ",8.5,9.6,2,80,"No"
"Crowne Plaza London Kings Cross","Gran Bretaña","London",51.5263854,-0.1136042,"106","47","118","Other","Solo traveler","Leisure trip",1,2016-01-09,572,"No","No",2312,"Yes",100,"United Kingdom ",8.1,10,29,628,"Yes"
"Hotel Mercure Wien City","Austria","Vienna",48.2152663,16.376103,"3","62","2","Standard","Group","Leisure trip",2,2017-04-22,103,"No","No",910,"Yes",100,"United Kingdom ",8.2,10,12,86,"Yes"
"The Royal Horseguards","Gran Bretaña","London",51.5054185,-0.1241499,"116","120","109","Other","Couple","Leisure trip",2,2017-07-21,13,"No","No",2007,"No",44.4444,"Australia ",8.9,9.2,19,475,"Yes"
"Hotel Regina","España","Barcelona",41.3858891,2.1681652,"97","136","41","Other","Family","Leisure trip",4,2016-08-25,343,"No","No",2775,"Yes",81.8182,"United Kingdom ",8.5,9.2,1,334,"Yes"
"Royal Garden Hotel","Gran Bretaña","London",51.5027022,-0.1882164,"44","17","18","Other","Family","Leisure trip",1,2017-03-18,138,"No","No",2213,"Yes",78.9474,"United Kingdom ",8.8,10,1,617,"Yes"
"Batty Langley s","Gran Bretaña","London",51.5208575,-0.0779503,"44","65","34","Other","Couple","Leisure trip",1,2016-03-04,517,"No","No",644,"No",50,"United Kingdom ",9.4,10,6,197,"Yes"
"Danubius Hotel Regents Park","Gran Bretaña","London",51.529257,-0.168358,"95","236","75","Other","Family","Leisure trip",1,2017-03-04,152,"No","No",1294,"Yes",62.963,"United Kingdom ",8.1,8.8,2,362,"Yes"
"Hotel Barcelona Universal","España","Barcelona",41.375237,2.1684058,"65","91","38","Other","Couple","Leisure trip",4,2017-01-03,212,"No","No",807,"No",33.3333,"Finland ",8.8,7.9,2,111,"Yes"
"Hotel Cavendish","Gran Bretaña","London",51.5220522,-0.132414,"32","163","104","Other","Couple","Leisure trip",1,2016-12-24,222,"No","No",2275,"No",19.0476,"United Kingdom ",6.4,5.4,9,369,"Yes"
"Eurostars Cristal Palace","España","Barcelona",41.3897945,2.1660575,"72","136","41","Other","Couple","Leisure trip",7,2015-09-26,677,"No","No",3046,"Yes",57.1429,"United Kingdom ",8.2,7.5,3,221,"No"
"Sofitel Legend The Grand Amsterdam","Holanda","Amsterdam",52.370835,4.895403,"23","105","238","Other","Group","Leisure trip",2,2016-07-26,373,"No","No",870,"Yes",63.1579,"United Kingdom ",9.2,9.2,1,144,"Yes"
"Starhotels Ritz","Italia","Milan",45.4779041,9.2094965,"59","24","241","Other","Couple","Leisure trip",1,2016-12-11,235,"No","No",4248,"No",7.14286,"Saudi Arabia ",8.1,2.5,8,353,"Yes"
"Novotel London West","Gran Bretaña","London",51.4919588,-0.2200956,"106","176","218","Deluxe","Group","Leisure trip",1,2016-03-15,506,"No","No",2443,"Yes",57.8125,"United Kingdom ",8.3,8.3,10,704,"Yes"
"Radisson Blu Champs Elys es Paris","Francia","Paris",48.8719212,2.2971404,"41","50","91","Business","Group","Leisure trip",2,2015-08-26,708,"No","No",576,"No",9.1954,"United Kingdom ",7.4,8.3,1,97,"Yes"
"Silken Gran Hotel Havana","España","Barcelona",41.3927101,2.1722139,"44","122","39","Other","Couple","Leisure trip",4,2016-05-31,429,"No","No",1354,"Yes",100,"United Kingdom ",8.5,10,1,156,"No"
"Megaro Hotel","Gran Bretaña","London",51.5294411,-0.1233745,"56","35","109","Standard","Solo traveler","Leisure trip",1,2017-04-16,109,"No","No",1803,"No",26.087,"United Kingdom ",8.8,10,61,392,"Yes"
"Novotel London Waterloo","Gran Bretaña","London",51.4948465,-0.1187481,"36","12","114","Deluxe","Couple","Leisure trip",2,2016-01-02,579,"No","No",1047,"No",50,"United Kingdom ",8.2,9.6,17,176,"No"
"The Piccadilly London West End","Gran Bretaña","London",51.5121957,-0.1318384,"40","172","104","Other","Couple","Leisure trip",1,2017-03-13,143,"No","No",2298,"Yes",100,"United Kingdom ",9,10,2,531,"No"
"Holiday Inn London Kensington Forum","Gran Bretaña","London",51.4942305,-0.1851141,"84","278","29","Other","Solo traveler","Business trip",3,2016-07-03,396,"No","No",3867,"Yes",100,"Mauritius ",7.8,7.5,1,854,"Yes"
"Amba Hotel Marble Arch","Gran Bretaña","London",51.5144004,-0.1565506,"56","29","90","Standard","Family","Business trip",3,2017-01-23,192,"No","No",3980,"No",18.1818,"India ",8.5,8.3,1,908,"Yes"
"Sir Albert Hotel","Holanda","Amsterdam",52.3544507,4.8875036,"33","62","237","Other","Couple","Leisure trip",2,2016-09-15,322,"No","No",1068,"No",34.7826,"Saudi Arabia ",8.8,5.8,1,181,"Yes"
"Best Western Paris Gare Saint Lazare","Francia","Paris",48.8803752,2.319591,"35","77","155","Classic","Couple","Leisure trip",3,2015-12-29,583,"No","No",759,"Yes",100,"Greece ",7.6,9.2,2,41,"No"
"Apex London Wall Hotel","Gran Bretaña","London",51.5160484,-0.0880181,"65","65","67","Other","Group","Leisure trip",1,2016-10-10,297,"No","No",949,"No",11.9048,"United Kingdom ",9.1,7.5,1,256,"No"
"South Place Hotel","Gran Bretaña","London",51.5189182,-0.0866009,"33","65","63","Other","Family","Leisure trip",1,2016-03-15,506,"No","No",769,"No",31.8182,"United Kingdom ",9.3,8.3,1,235,"Yes"
"Room Mate Carla","España","Barcelona",41.3962658,2.1662153,"66","106","41","Other","Family","Leisure trip",3,2016-11-14,262,"No","No",1257,"Yes",100,"Saudi Arabia ",8.9,9.6,4,122,"Yes"
"London Bridge Hotel","Gran Bretaña","London",51.5052188,-0.088166,"61","41","67","Standard","Couple","Leisure trip",1,2017-01-04,211,"No","No",311,"Yes",100,"United Kingdom ",8.7,10,1,97,"No"
"Millennium Gloucester Hotel London","Gran Bretaña","London",51.4935083,-0.1834346,"38","267","36","Standard","Couple","Leisure trip",1,2016-03-21,500,"No","No",5726,"No",14.7541,"United Kingdom ",7.8,6.7,1,1444,"No"
"Ace Hotel London Shoreditch","Gran Bretaña","London",51.5254162,-0.0772849,"74","62","33","Standard","Couple","Leisure trip",1,2017-07-21,13,"No","No",1593,"Yes",100,"United Kingdom ",8.6,10,7,404,"No"
"Apex City Of London Hotel","Gran Bretaña","London",51.5104624,-0.0795502,"56","65","38","Other","Couple","Leisure trip",2,2016-12-23,223,"No","No",2750,"Yes",100,"United Kingdom ",9,9.6,2,623,"Yes"
"The Exhibitionist Hotel","Gran Bretaña","London",51.4947754,-0.177789,"31","230","54","Deluxe","Couple","Leisure trip",1,2016-11-20,256,"No","No",1708,"No",50,"Liechtenstein ",8.4,9.6,7,388,"Yes"
"Catalonia Park Putxet","España","Barcelona",41.4072812,2.1443116,"73","243","32","Other","Couple","Leisure trip",3,2017-06-13,51,"No","No",3590,"Yes",60,"United Kingdom ",7.4,8.8,1,258,"Yes"
"Eurostars Grand Marina Hotel GL","España","Barcelona",41.371308,2.181698,"36","24","30","Other","Group","Leisure trip",4,2016-03-27,494,"No","No",4559,"No",40,"United States of America ",8.5,9.2,7,666,"No"
"Starhotels Ritz","Italia","Milan",45.4779041,9.2094965,"59","24","241","Other","Group","Leisure trip",2,2017-03-20,136,"No","No",4248,"No",35.1351,"Finland ",8.1,9.6,3,353,"Yes"
"Novotel Barcelona City","España","Barcelona",41.4038774,2.1911894,"15","184","23","Other","Family","Leisure trip",4,2017-07-14,20,"No","No",1679,"No",30.5882,"United Arab Emirates ",8.4,6.7,1,145,"Yes"
"Catalonia Plaza Catalunya","España","Barcelona",41.3865289,2.1682919,"85","139","41","Other","Solo traveler","Business trip",2,2016-11-21,255,"No","No",4153,"No",19.4444,"Belgium ",8.6,8.8,8,434,"No"
"IH Hotels Milano Watt 13","Italia","Milan",45.443791,9.152947,"73","129","221","Other","Couple","Leisure trip",2,2016-08-06,362,"No","No",2122,"Yes",88.2353,"United Kingdom ",7.6,9.6,2,85,"Yes"
"DoubleTree by Hilton Hotel London Tower of London","Gran Bretaña","London",51.5108412,-0.0780581,"41","62","34","Other","Couple","Leisure trip",1,2017-02-08,176,"No","No",7491,"Yes",60,"United Kingdom ",8.7,10,3,1936,"Yes"
"Arbor City","Gran Bretaña","London",51.5166755,-0.0697897,"67","35","18","Other","Couple","Leisure trip",1,2016-01-12,569,"No","No",2197,"Yes",100,"United Kingdom ",8.9,9.2,5,404,"No"
"NH Wien City","Austria","Vienna",48.2002872,16.3547746,"98","62","4","Other","Couple","Leisure trip",2,2015-11-17,625,"No","No",1538,"No",40,"Czech Republic ",8.4,9.6,1,137,"Yes"
"Mercure Amsterdam Sloterdijk Station","Holanda","Amsterdam",52.3872884,4.8349748,"51","220","174","Standard","Couple","Couple",2,2017-06-27,37,"No","No",3643,"No",48.4848,"United Kingdom ",8.6,10,3,498,"Yes"
"Park Plaza Vondelpark Amsterdam","Holanda","Amsterdam",52.3542655,4.8664365,"62","271","230","Deluxe","Group","Leisure trip",3,2016-07-12,387,"Yes","Yes",2176,"Yes",59.1837,"United Kingdom ",7.5,9.2,7,313,"No"
"Hotel Esther a","Holanda","Amsterdam",52.3705447,4.8886439,"97","116","237","Classic","Solo traveler","Business trip",1,2015-09-03,700,"No","No",4687,"No",25,"United States of America ",9.1,7.9,6,834,"No"
"Golden Tulip Amsterdam Riverside","Holanda","Amsterdam",52.3154533,4.9962997,"2","305","187","Standard","Group","Leisure trip",2,2017-03-02,154,"No","No",2362,"No",40,"United Kingdom ",7.5,7.5,1,245,"Yes"
"The Piccadilly London West End","Gran Bretaña","London",51.5121957,-0.1318384,"40","172","104","Other","Couple","Leisure trip",1,2016-12-27,219,"No","No",2298,"Yes",69.4444,"United Kingdom ",9,8.8,1,531,"Yes"
"Ayre Hotel Rosell n","España","Barcelona",41.4047382,2.1727127,"52","24","39","Other","Couple","Couple",1,2017-07-23,11,"No","No",2359,"No",0,"Netherlands ",8.7,3.8,6,215,"No"
"The Chelsea Harbour Hotel","Gran Bretaña","London",51.4756558,-0.1813888,"62","121","39","Deluxe","Couple","Leisure trip",1,2017-01-09,206,"No","No",1032,"Yes",100,"United Kingdom ",8.6,10,16,326,"No"
"Catalonia Born","España","Barcelona",41.3896916,2.1798661,"66","96","35","Other","Group","Leisure trip",2,2016-01-03,578,"No","No",2094,"No",32.5,"United Kingdom ",8.8,8.3,3,211,"Yes"
"The Arch London","Gran Bretaña","London",51.5159214,-0.1598794,"25","12","87","Other","Couple","Leisure trip",1,2016-12-13,233,"No","No",521,"Yes",57.1429,"United Kingdom ",9.1,7.5,1,133,"Yes"
"Hilton London Tower Bridge","Gran Bretaña","London",51.504575,-0.082675,"57","47","50","Deluxe","Couple","Leisure trip",1,2017-02-27,157,"No","No",1705,"No",47.2222,"United Kingdom ",8.7,7.9,2,484,"Yes"
"Mondrian London","Gran Bretaña","London",51.5084036,-0.1067988,"11","29","112","Deluxe","Group","Leisure trip",1,2016-07-20,379,"No","No",3611,"Yes",83.3333,"United Kingdom ",9.1,10,1,1100,"Yes"
"Best Western Plus Hotel Galles","Italia","Milan",45.4805847,9.2117326,"77","17","239","Other","Couple","Leisure trip",2,2016-05-28,432,"No","No",3550,"Yes",100,"United States of America ",8.5,9.6,6,298,"No"
"Hilton London Wembley","Gran Bretaña","London",51.5576962,-0.2835263,"11","181","152","Deluxe","Couple","Leisure trip",1,2016-08-09,359,"No","No",4305,"No",6.94444,"United Kingdom ",8.8,7.1,2,1427,"Yes"
"Holiday Inn London Kensington Forum","Gran Bretaña","London",51.4942305,-0.1851141,"84","278","29","Other","Solo traveler","Leisure trip",4,2016-04-27,463,"No","No",3867,"No",17.2131,"Canada ",7.8,6.3,5,854,"Yes"
"DoubleTree by Hilton Hotel London Tower of London","Gran Bretaña","London",51.5108412,-0.0780581,"41","62","34","Other","Couple","Leisure trip",1,2016-08-31,337,"No","No",7491,"Yes",71.4286,"United States of America ",8.7,9,62,1936,"Yes"
"Hotel Opera Cadet","Francia","Paris",48.8754371,2.3434586,"109","169","175","Other","Couple","Leisure trip",4,2016-07-31,368,"No","No",349,"No",0,"United States of America ",8.5,9.6,1,33,"No"
"Hilton London Kensington Hotel","Gran Bretaña","London",51.5051084,-0.213266,"36","194","223","Other","Solo traveler","Leisure trip",2,2016-10-17,290,"No","No",3801,"Yes",59.3103,"Portugal ",7.8,8.3,9,843,"No"
"Britannia International Hotel Canary Wharf","Gran Bretaña","London",51.5019097,-0.0232208,"95","145","192","Business","Solo traveler","Business trip",1,2015-11-02,640,"No","No",9086,"No",0,"United Kingdom ",7.1,2.5,2,2682,"No"
"Amba Hotel Charing Cross","Gran Bretaña","London",51.508236,-0.1261963,"122","136","106","Other","Family","Leisure trip",1,2016-08-10,358,"No","No",1694,"Yes",100,"Canada ",9.3,9.6,1,359,"No"
"Hotel Xenia Autograph Collection","Gran Bretaña","London",51.4946905,-0.1910197,"29","326","12","Classic","Solo traveler","Leisure trip",6,2016-08-22,346,"No","No",682,"Yes",62.069,"Canada ",9,10,11,148,"Yes"
"DoubleTree by Hilton London Victoria","Gran Bretaña","London",51.49398,-0.143372,"106","5","98","Other","Family","Leisure trip",2,2016-04-02,488,"No","No",2902,"No",38.806,"Switzerland ",8.4,9.6,3,660,"No"
"Hotel Dei Cavalieri","Italia","Milan",45.4608547,9.1886179,"58","60","9","Other","Solo traveler","Business trip",2,2016-03-05,516,"No","No",3445,"No",42.8571,"Switzerland ",8.4,10,55,301,"No"
"Sina The Gray","Italia","Milan",45.4655368,9.1914986,"76","50","9","Other","Couple","Leisure trip",1,2017-07-10,24,"No","No",346,"No",36.3636,"Germany ",8.3,9.6,2,44,"Yes"
"H tel Powers","Francia","Paris",48.8691409,2.3031503,"65","60","122","Other","Couple","Leisure trip",5,2016-02-11,539,"No","No",956,"Yes",100,"Egypt ",8.5,9.2,36,149,"Yes"
"Austria Trend Hotel Ananas Wien","Austria","Vienna",48.1915401,16.3546263,"38","41","3","Classic","Couple","Leisure trip",2,2017-06-30,34,"No","No",4217,"Yes",52.1739,"Slovakia ",8.2,8.3,9,284,"Yes"
"Victoires Opera","Francia","Paris",48.8648997,2.3469433,"27","179","171","Classic","Group","Leisure trip",1,2017-04-19,106,"No","No",273,"No",0,"France ",7.5,9.2,1,32,"Yes"
"Hotel Die Port van Cleve","Holanda","Amsterdam",52.3741426,4.8907741,"90","111","236","Other","Group","Leisure trip",1,2016-06-05,424,"No","No",1189,"No",24.4444,"United States of America ",8,8.3,1,191,"No"
"Grand Royale London Hyde Park","Gran Bretaña","London",51.5109945,-0.1863417,"58","329","24","Other","Group","Business trip",2,2017-02-17,167,"No","No",6539,"No",40,"Ireland ",7.7,7.5,1,1274,"Yes"
"Austria Trend Hotel Park Royal Palace Vienna","Austria","Vienna",48.191339,16.3165873,"51","66","203","Deluxe","Solo traveler","Leisure trip",1,2017-01-08,207,"No","No",3667,"Yes",68.75,"United Kingdom ",8.8,9.6,1,251,"No"
"Boutique Hotel Notting Hill","Holanda","Amsterdam",52.3583821,4.8988777,"48","73","237","Other","Solo traveler","Solo traveler",4,2015-12-18,594,"No","No",2085,"No",28.125,"United Kingdom ",8.4,8.3,8,404,"No"
"The Rockwell","Gran Bretaña","London",51.4948059,-0.1926525,"20","300","8","Other","Solo traveler","Business trip",1,2015-12-10,602,"No","No",1470,"Yes",100,"United Kingdom ",8.6,10,6,275,"No"
"Novotel London Waterloo","Gran Bretaña","London",51.4948465,-0.1187481,"36","12","114","Deluxe","Couple","Leisure trip",1,2015-10-26,647,"No","No",1047,"No",4.08163,"United Kingdom ",8.2,7.1,2,176,"Yes"
"Best Western Aulivia Op ra","Francia","Paris",48.8730552,2.3540112,"91","125","161","Classic","Solo traveler","Leisure trip",3,2016-05-31,429,"No","No",570,"Yes",96.6667,"Netherlands ",7.8,9.2,1,51,"Yes"
"Strand Palace Hotel","Gran Bretaña","London",51.5110993,-0.1208673,"102","105","111","Standard","Couple","Leisure trip",1,2017-08-02,1,"No","No",9568,"No",45.4545,"United Kingdom ",8.1,7.9,1,2288,"Yes"
"H tel Bedford","Francia","Paris",48.8720593,2.3236802,"91","86","165","Classic","Couple","Leisure trip",1,2015-12-07,605,"No","No",1703,"No",35.7143,"Belgium ",8.6,8.3,9,230,"No"
"Hotel Ares Eiffel","Francia","Paris",48.8503276,2.2982022,"41","24","98","Other","Family","Leisure trip",6,2015-12-04,608,"No","No",667,"Yes",100,"United States of America ",8.8,10,1,103,"Yes"
"Hilton London Euston","Gran Bretaña","London",51.5265189,-0.1303689,"20","116","103","Other","Couple","Leisure trip",1,2016-09-28,309,"No","No",843,"No",41.3793,"Guernsey ",7.4,9.6,2,198,"Yes"
"Holiday Inn London Wembley","Gran Bretaña","London",51.5590955,-0.284704,"62","181","145","Other","Couple","Leisure trip",1,2015-10-27,646,"No","No",3469,"Yes",54.5455,"United Kingdom ",8.3,6.7,2,1005,"Yes"
"Silken Ramblas","España","Barcelona",41.3830117,2.1700699,"102","132","39","Other","Couple","Leisure trip",1,2016-06-17,412,"No","No",1949,"Yes",100,"United Kingdom ",7.9,10,1,184,"Yes"
"Copthorne Tara Hotel London Kensington","Gran Bretaña","London",51.499046,-0.1917073,"62","5","10","Standard","Couple","Leisure trip",2,2017-03-23,133,"No","No",7105,"Yes",100,"United Kingdom ",8.1,8.3,14,1831,"Yes"
"Shaftesbury Suites London Marble Arch","Gran Bretaña","London",51.515755,-0.1603335,"49","5","86","Other","Solo traveler","Solo traveler",3,2017-07-08,26,"No","No",800,"No",0,"Kuwait ",8.1,5.4,1,151,"Yes"
"Starhotels Tourist","Italia","Milan",45.5266395,9.2131549,"36","23","213","Family","Family","Leisure trip",3,2016-01-03,578,"No","No",2135,"Yes",86.2745,"United States of America ",8.5,9.2,1,108,"Yes"
"Copthorne Tara Hotel London Kensington","Gran Bretaña","London",51.499046,-0.1917073,"62","5","10","Other","Solo traveler","Leisure trip",1,2015-09-06,697,"No","No",7105,"No",20.5882,"Switzerland ",8.1,8.3,15,1831,"Yes"
"DoubleTree by Hilton Hotel London Tower of London","Gran Bretaña","London",51.5108412,-0.0780581,"41","62","34","Other","Couple","Leisure trip",2,2017-04-05,120,"No","No",7491,"Yes",70.5882,"United Kingdom ",8.7,10,4,1936,"No"
"Gran Hotel Barcino","España","Barcelona",41.3830582,2.1778267,"115","105","36","Other","Solo traveler","Leisure trip",2,2015-12-13,599,"No","No",448,"No",7.89474,"Argentina ",7,5.8,7,30,"Yes"
"The Westbourne Hyde Park","Gran Bretaña","London",51.5131074,-0.1778707,"49","221","52","Deluxe","Couple","Leisure trip",2,2016-09-28,309,"No","No",716,"No",34.1772,"United Kingdom ",8.9,8.8,1,126,"Yes"
"Holiday Inn London Wembley","Gran Bretaña","London",51.5590955,-0.284704,"62","181","145","Other","Group","Leisure trip",1,2017-03-28,128,"No","No",3469,"Yes",100,"United Kingdom ",8.3,8.3,5,1005,"Yes"
"Best Western Blue Tower Hotel","Holanda","Amsterdam",52.3793659,4.8457179,"116","48","200","Other","Solo traveler","Business trip",1,2016-10-15,292,"No","No",3869,"No",38.4615,"Belgium ",7.4,7.1,10,587,"Yes"
"Catalonia Passeig de Gr cia 4 Sup","España","Barcelona",41.3901396,2.1696699,"48","136","39","Other","Couple","Leisure trip",2,2016-07-15,384,"No","No",2116,"Yes",84.0909,"Australia ",9.2,10,10,257,"No"
"Ace Hotel London Shoreditch","Gran Bretaña","London",51.5254162,-0.0772849,"74","62","33","Other","Couple","Business trip",2,2017-05-01,94,"No","No",1593,"Yes",100,"United Kingdom ",8.6,10,4,404,"No"
"Best Western Plus de Neuville Arc de Triomphe","Francia","Paris",48.8869128,2.3004034,"62","17","105","Deluxe","Couple","Leisure trip",2,2015-09-22,681,"No","No",516,"Yes",100,"United Kingdom ",8,10,2,62,"No"
"Austria Trend Hotel Rathauspark Wien","Austria","Vienna",48.2133054,16.3567884,"25","55","4","Classic","Couple","Leisure trip",3,2016-01-04,577,"No","No",1884,"Yes",68.1818,"Poland ",8.5,8.8,10,195,"No"
"Hotel Okura Amsterdam","Holanda","Amsterdam",52.3487635,4.8938829,"3","24","238","Other","Family","Leisure trip",1,2017-02-06,178,"No","No",2295,"Yes",100,"United Arab Emirates ",8.9,9.2,2,383,"No"
"Gran Hotel Torre Catalunya","España","Barcelona",41.3795572,2.1425457,"25","12","30","Other","Couple","Business trip",1,2016-09-30,307,"No","No",1671,"Yes",71.0145,"United States of America ",8.5,8.3,18,215,"Yes"
"Hotel de France Wien","Austria","Vienna",48.2146623,16.3627994,"39","50","5","Other","Couple","Leisure trip",8,2016-05-22,438,"No","No",5177,"Yes",100,"United Kingdom ",8.5,9.6,5,416,"Yes"
"Staybridge Suites London Vauxhall","Gran Bretaña","London",51.4891226,-0.1205639,"84","234","110","Family","Family","Leisure trip",7,2017-01-05,210,"No","No",742,"Yes",72.7273,"Malaysia ",9.2,5.8,9,94,"No"
"Sina De La Ville","Italia","Milan",45.465957,9.192297,"65","47","9","Other","Couple","Leisure trip",4,2017-07-20,14,"No","No",1718,"Yes",100,"Australia ",8.2,9.2,9,153,"Yes"
"Hotel Capricorno","Austria","Vienna",48.2111522,16.3788631,"53","60","1","Other","Couple","Leisure trip",5,2015-08-31,703,"No","No",2279,"Yes",100,"United States of America ",9.1,10,1,177,"No"
