"id","Total.Household.Income","Region","Total.Food.Expenditure","Main.Source.of.Income","Agricultural.Household.indicator","Restaurant.and.hotels.Expenditure","Alcohol.and.tobacco.expenditure","Clothing..Footwear.and.Other.Wear.Expenditure","Housing.and.water.Expenditure","Imputed.House.Rental.Value","Medical.education.transport.and.communication.expenditure","Miscellaneous.goods.and.special.occasions.expenditure","Crop.Farming.and.Gardening.expenses","Total.Income.from.Entrepreneurial.Acitivites","Household.Head.Sex","Household.Head.Age","Household.Head.Marital.Status","Household.Head.Highest.Grade.Completed","Household.Head.Job.or.Business.Indicator","Household.Head.Occupation","Household.Head.Class.of.Worker","Total.Number.of.Family.members","Members.with.age.less.than.5.year.old","Members.with.age.5...17.years.old","Total.number.of.family.members.employed","Type.of.Building.House","House.Floor.Area","House.Age","Number.of.bedrooms","Electricity","Number.of.Car..Jeep..Van","Number.of.Cellular.phone","Number.of.Motorcycle.Tricycle"
4232,178930,"III - Central Luzon",96288,"Enterpreneurial Activities","0",15054,0,3000,38130,24000,12421,15092,0,138200,"Female",40,"Married","Elementary Studies","With Job/Business","Tertiary Sector","Self-employed wihout any employee",4,1,1,0,"Single house",40,62,1,1,0,2,1
4233,116275,"XII - SOCCSKSARGEN",34731,"Wage/Salaries","1",2011,540,1555,9090,3600,42697,2726,0,11000,"Male",52,"Married","No Studies","With Job/Business","Primary Sector","Worked for private establishment",3,0,0,2,"Single house",15,12,1,1,0,2,0
4234,64826,"VIII - Eastern Visayas",25880,"Enterpreneurial Activities","1",312,3993,460,4608,1500,143,2454,11871,53619,"Male",66,"Widowed","Elementary Studies","With Job/Business","Primary Sector","Self-employed wihout any employee",1,0,0,0,"Single house",18,15,1,1,0,0,0
4235,335564,"VII - Central Visayas",224774,"Other sources of Income","0",24600,4455,5584,91512,48000,149083,30630,0,10100,"Male",55,"Married","Program Studies","No Job/Business","No Occupation","Unemployed",8,2,1,1,"Single house",15,18,2,1,0,8,0
4236,263000,"III - Central Luzon",88376,"Enterpreneurial Activities","0",16850,0,4850,64746,48000,16602,12468,0,215000,"Female",61,"Widowed","High School Studies","With Job/Business","Tertiary Sector","Employer in own family-operated farm or business",1,0,0,0,"Single house",300,30,3,1,0,1,1
4237,151500,"NCR",65763,"Enterpreneurial Activities","2",7202,0,250,68850,51000,21980,3828,0,81000,"Female",84,"Single","Program Studies","With Job/Business","Tertiary Sector","Self-employed wihout any employee",1,0,0,0,"Multi-unit residential",35,28,2,1,0,0,0
4238,48090,"XII - SOCCSKSARGEN",24797,"Other sources of Income","0",800,5911,1268,5940,1200,4335,1452,0,6000,"Male",64,"Married","No Studies","No Job/Business","No Occupation","Unemployed",2,0,0,0,"Single house",12,5,0,1,0,0,0
4239,63610,"VII - Central Visayas",34119,"Other sources of Income","0",5510,3916,390,25998,21000,2447,2618,0,0,"Male",53,"Married","Elementary Studies","With Job/Business","Tertiary Sector","Worked for government/government corporation",1,0,0,1,"Single house",250,55,3,1,0,0,0
4240,166700,"II - Cagayan Valley",68292,"Other sources of Income","0",16600,0,685,25290,10200,13302,12610,0,59260,"Male",30,"Married","High School Studies","With Job/Business","Tertiary Sector","Worked for private establishment",3,0,1,1,"Single house",50,6,2,1,0,2,1
4241,510492,"NCR",139311,"Wage/Salaries","2",40020,0,10530,180372,120000,66558,36042,0,0,"Male",42,"Married","Program Studies","With Job/Business","Tertiary Sector","Worked for government/government corporation",5,0,2,2,"Single house",80,30,2,1,0,4,0
4242,887395,"III - Central Luzon",125997,"Wage/Salaries","0",49400,0,7710,97980,39000,107924,48150,0,0,"Male",53,"Single","Program Studies","With Job/Business","Tertiary Sector","Worked for government/government corporation",3,0,0,2,"Single house",200,15,3,1,0,3,0
4243,130851,"IVB - MIMAROPA",93851,"Enterpreneurial Activities","1",315,0,1763,6882,3300,18152,7213,59125,59125,"Male",41,"Married","High School Studies","With Job/Business","Primary Sector","Self-employed wihout any employee",6,0,3,4,"Single house",15,25,0,0,0,1,0
4244,219198,"X - Northern Mindanao",45407,"Wage/Salaries","0",10080,2550,2900,18450,12000,8638,8318,14790,47680,"Female",63,"Divorced/Separated","Elementary Studies","With Job/Business","Primary Sector","Self-employed wihout any employee",6,0,2,3,"Single house",30,40,2,1,0,3,0
4245,453650,"IVA - CALABARZON",215622,"Other sources of Income","0",32570,0,17470,153348,90000,37296,17786,0,0,"Female",76,"Divorced/Separated","No Studies","No Job/Business","No Occupation","Unemployed",3,1,1,0,"Single house",200,12,5,1,0,1,0
4246,73349," ARMM",46761,"Enterpreneurial Activities","1",0,1810,1660,10350,6000,4140,2400,65385,65385,"Male",29,"Married","No Studies","With Job/Business","Tertiary Sector","Self-employed wihout any employee",3,1,0,0,"Duplex",20,15,1,0,0,0,0
4247,48914,"VII - Central Visayas",19969,"Other sources of Income","0",20670,0,730,9576,6000,1518,1188,0,1652,"Female",68,"Widowed","Elementary Studies","No Job/Business","No Occupation","Unemployed",1,0,0,0,"Single house",63,38,2,1,0,0,0
4248,67135," ARMM",30990,"Other sources of Income","0",0,0,914,14898,9600,5527,2208,0,0,"Female",61,"Widowed","No Studies","No Job/Business","No Occupation","Unemployed",3,0,1,0,"Single house",20,20,1,1,0,0,0
4249,158176,"XII - SOCCSKSARGEN",98968,"Enterpreneurial Activities","0",18150,9445,2760,20820,15000,20636,11720,11700,123376,"Male",48,"Divorced/Separated","High School Studies","With Job/Business","Tertiary Sector","Self-employed wihout any employee",5,0,3,0,"Single house",50,10,1,1,0,2,0
4250,84044,"Caraga",39926,"Enterpreneurial Activities","0",440,360,3007,12288,9000,14552,2504,10264,56482,"Male",50,"Married","No Studies","With Job/Business","Tertiary Sector","Self-employed wihout any employee",3,1,0,0,"Single house",40,6,1,0,0,1,0
4251,90850,"XII - SOCCSKSARGEN",52806,"Wage/Salaries","0",6360,14630,1340,7650,3600,7280,5208,0,12050,"Male",34,"Married","High School Studies","With Job/Business","Tertiary Sector","Worked for private establishment",3,0,1,2,"Single house",30,13,1,1,0,1,0
4252,100876,"III - Central Luzon",63585,"Wage/Salaries","1",24180,8695,2500,22380,12000,13257,5682,0,0,"Male",34,"Married","Elementary Studies","With Job/Business","Primary Sector","Worked for private establishment",3,0,1,1,"Single house",22,12,1,1,0,2,0
4253,162335,"VII - Central Visayas",71234,"Wage/Salaries","0",15600,840,925,14634,7800,10485,5426,1700,5745,"Male",42,"Married","Elementary Studies","With Job/Business","Tertiary Sector","Worked for private establishment",6,1,1,2,"Single house",29,1,1,1,0,1,0
4254,78047,"IX - Zasmboanga Peninsula",44323,"Enterpreneurial Activities","1",300,3513,2890,6576,4200,3754,3792,24978,35203,"Male",31,"Married","Elementary Studies","With Job/Business","Primary Sector","Worked for private establishment",3,0,1,1,"Single house",25,6,2,1,0,0,0
4255,58274," ARMM",25882,"Enterpreneurial Activities","1",200,35,1730,7410,3000,2449,1326,46574,46574,"Male",21,"Married","High School Studies","With Job/Business","Tertiary Sector","Self-employed wihout any employee",4,2,0,0,"Single house",64,6,1,0,0,0,0
4256,310725,"V - Bicol Region",64939,"Other sources of Income","0",10233,630,4087,45054,21000,79622,40292,32630,32630,"Male",64,"Married","Program Studies","With Job/Business","Tertiary Sector","Worked for government/government corporation",2,0,0,1,"Duplex",96,55,5,1,0,2,1
4257,922130,"VIII - Eastern Visayas",159071,"Wage/Salaries","0",4700,750,24896,56262,27000,85102,103640,0,0,"Male",40,"Married","Program Studies","With Job/Business","Tertiary Sector","Worked for government/government corporation",5,1,2,2,"Single house",29,15,2,1,0,2,1
4258,526039,"II - Cagayan Valley",84978,"Other sources of Income","0",13200,48,5070,55290,30000,93635,24268,0,0,"Female",52,"Married","Program Studies","With Job/Business","Tertiary Sector","Worked for government/government corporation",5,1,0,1,"Single house",192,26,3,1,0,3,1
4259,223239,"III - Central Luzon",74364,"Enterpreneurial Activities","1",6220,4380,1390,28080,16200,14420,12138,176800,176800,"Male",40,"Married","High School Studies","With Job/Business","Tertiary Sector","Self-employed wihout any employee",5,2,1,0,"Single house",89,16,1,1,0,2,1
4260,52067,"VI - Western Visayas",24792,"Other sources of Income","0",0,0,65,13800,12000,580,2184,3420,3420,"Male",72,"Widowed","Program Studies","No Job/Business","No Occupation","Unemployed",1,0,0,0,"Single house",60,20,2,1,0,0,0
4261,128430,"XI - Davao Region",52123,"Wage/Salaries","1",4045,15,1503,21186,12000,2410,6566,0,0,"Male",38,"Divorced/Separated","No Studies","With Job/Business","Primary Sector","Worked for private establishment",6,2,1,2,"Single house",45,2,2,1,0,0,0
4262,80885,"XII - SOCCSKSARGEN",83582,"Wage/Salaries","2",6703,2784,1703,8496,4500,8486,4968,540,13015,"Male",34,"Married","Elementary Studies","With Job/Business","Tertiary Sector","Worked for government/government corporation",4,0,2,2,"Single house",20,6,2,1,0,1,0
4263,356271,"NCR",52419,"Other sources of Income","2",12460,0,2140,137148,90000,185960,32754,0,15070,"Female",50,"Married","High School Studies","With Job/Business","Tertiary Sector","Self-employed wihout any employee",2,0,1,0,"Single house",50,23,1,1,0,2,0
4264,93419,"CAR",38446,"Other sources of Income","0",0,0,600,37218,27000,5280,3448,0,5784,"Female",75,"Widowed","No Studies","No Job/Business","No Occupation","Unemployed",3,0,1,1,"Duplex",30,52,1,1,0,3,0
4265,55570,"XII - SOCCSKSARGEN",37513,"Wage/Salaries","1",2164,520,670,8244,4800,3748,1200,0,0,"Male",49,"Married","High School Studies","With Job/Business","Tertiary Sector","Worked for private establishment",4,0,0,3,"Single house",14,10,1,1,0,0,0
4266,104895,"II - Cagayan Valley",42687,"Wage/Salaries","1",0,1300,3320,10680,6000,3418,8096,39575,41095,"Male",46,"Married","Elementary Studies","With Job/Business","Primary Sector","Employer in own family-operated farm or business",5,0,1,2,"Single house",30,30,2,1,0,1,0
4267,303501,"V - Bicol Region",181492,"Other sources of Income","0",7315,19480,7605,32730,18000,33017,17940,0,114958,"Female",32,"Married","Elementary Studies","With Job/Business","Tertiary Sector","Worked for private establishment",4,0,3,1,"Single house",23,12,0,1,0,2,0
4268,77431,"VII - Central Visayas",68881,"Enterpreneurial Activities","1",1386,1504,1640,12516,3000,2804,13878,14224,34744,"Male",57,"Married","No Studies","With Job/Business","Primary Sector","Self-employed wihout any employee",4,0,1,2,"Single house",25,18,2,1,0,1,0
4269,380710,"NCR",149088,"Wage/Salaries","2",40230,7840,3800,63588,30000,26190,25805,0,0,"Female",40,"Married","High School Studies","No Job/Business","No Occupation","Unemployed",9,0,5,4,"Single house",25,31,2,1,0,4,0
4270,174320,"I - Ilocos Region",94010,"Enterpreneurial Activities","0",8400,3490,4585,12300,6000,11988,9820,0,119030,"Male",36,"Married","Elementary Studies","With Job/Business","Tertiary Sector","Self-employed wihout any employee",5,1,2,1,"Single house",80,45,3,1,0,2,1
4271,100825,"I - Ilocos Region",57457,"Wage/Salaries","0",6700,1606,1890,17742,9000,6754,6726,0,12000,"Male",42,"Married","Elementary Studies","With Job/Business","Tertiary Sector","Self-employed wihout any employee",4,0,2,1,"Single house",110,9,1,1,0,1,1
4272,220571,"IX - Zasmboanga Peninsula",106192,"Wage/Salaries","0",19913,3493,5675,28002,15000,14557,9486,0,0,"Male",41,"Married","Elementary Studies","With Job/Business","Tertiary Sector","Worked for private establishment",4,0,1,2,"Duplex",40,10,2,1,0,3,0
4273,83300," ARMM",40298,"Enterpreneurial Activities","1",450,390,1820,14640,9000,12740,9276,22255,72255,"Male",38,"Married","No Studies","With Job/Business","Primary Sector","Self-employed wihout any employee",10,2,6,0,"Single house",73,12,2,1,0,3,0
4274,89929,"Caraga",47169,"Wage/Salaries","1",2070,395,1783,19350,6600,7326,1764,2870,9488,"Male",38,"Married","Elementary Studies","With Job/Business","Primary Sector","Self-employed wihout any employee",5,1,2,1,"Single house",24,6,1,1,0,1,0
4275,111552,"V - Bicol Region",56809,"Other sources of Income","0",3360,765,9705,8010,1800,20966,15301,15360,20010,"Male",61,"Married","Elementary Studies","With Job/Business","Tertiary Sector","Self-employed wihout any employee",5,0,1,1,"Single house",50,17,4,1,0,2,1
4276,144240,"IVA - CALABARZON",47687,"Wage/Salaries","0",4720,1656,950,22080,0,18842,6126,0,0,"Male",34,"Married","High School Studies","With Job/Business","Tertiary Sector","Worked for private establishment",1,0,0,1,"Multi-unit residential",45,16,0,1,0,1,1
4277,153620,"V - Bicol Region",93599,"Other sources of Income","0",9050,1220,2385,21960,10800,32343,7704,0,17440,"Male",56,"Married","Elementary Studies","With Job/Business","Primary Sector","Worked for private establishment",7,2,0,1,"Single house",20,35,2,1,0,1,0
4278,258680,"IVB - MIMAROPA",104068,"Other sources of Income","0",22600,0,11857,40770,12000,39777,16422,0,0,"Female",54,"Married","Elementary Studies","With Job/Business","Tertiary Sector","Worked for private establishment",5,0,2,1,"Single house",150,27,5,1,0,3,1
4279,165895,"V - Bicol Region",84853,"Wage/Salaries","0",17273,2210,2383,38592,21000,13144,11370,0,0,"Female",58,"Married","Elementary Studies","No Job/Business","No Occupation","Unemployed",9,1,3,2,"Single house",40,17,2,1,0,5,1
4280,139030,"I - Ilocos Region",68249,"Enterpreneurial Activities","1",11100,3857,3095,11580,4800,9007,6076,76840,76840,"Male",47,"Married","Elementary Studies","With Job/Business","Primary Sector","Self-employed wihout any employee",6,1,3,0,"Single house",40,39,0,1,0,0,0
4281,357703,"IVA - CALABARZON",99684,"Wage/Salaries","0",40970,0,5414,62094,39000,95113,18588,0,31094,"Female",55,"Married","Program Studies","With Job/Business","Tertiary Sector","Self-employed wihout any employee",4,0,0,2,"Single house",100,18,2,1,0,4,0
4282,311454,"XII - SOCCSKSARGEN",162249,"Enterpreneurial Activities","0",22820,10350,8750,25458,12000,46071,14064,72142,264340,"Male",75,"Annulled","No Studies","No Job/Business","No Occupation","Unemployed",9,1,4,0,"Single house",40,43,4,1,2,4,0
4283,92052,"IX - Zasmboanga Peninsula",53785,"Other sources of Income","0",5650,470,2445,12000,4800,6624,5458,30155,30155,"Male",41,"Married","Elementary Studies","With Job/Business","Primary Sector","Employer in own family-operated farm or business",4,0,2,1,"Single house",30,36,2,1,0,2,1
4284,38489,"VII - Central Visayas",20337,"Enterpreneurial Activities","0",1300,1654,130,4596,3600,368,162,8290,21130,"Male",63,"Divorced/Separated","High School Studies","With Job/Business","Primary Sector","Self-employed wihout any employee",1,0,0,0,"Single house",22,18,2,1,0,0,0
4285,84266,"V - Bicol Region",55724,"Wage/Salaries","0",5530,0,590,14718,9000,1043,7590,0,16002,"Male",47,"Married","No Studies","With Job/Business","Primary Sector","Worked for private establishment",3,0,1,2,"Single house",42,7,2,1,0,1,0
4286,602900,"XI - Davao Region",191541,"Enterpreneurial Activities","0",76650,0,13380,109500,0,129730,29688,0,602900,"Male",42,"Married","High School Studies","With Job/Business","Tertiary Sector","Self-employed wihout any employee",6,1,1,0,"Single house",50,25,3,1,0,6,2
4287,147760,"VII - Central Visayas",23940,"Enterpreneurial Activities","1",0,6740,460,17100,13800,3070,828,75870,121370,"Male",36,"Married","Program Studies","With Job/Business","Tertiary Sector","Self-employed wihout any employee",2,0,0,0,"Single house",15,5,1,0,0,0,0
4288,155365,"III - Central Luzon",39512,"Wage/Salaries","0",250,13575,330,16500,9000,12285,4626,0,51789,"Male",88,"Married","No Studies","With Job/Business","Tertiary Sector","Self-employed wihout any employee",5,0,0,2,"Single house",30,5,3,1,0,2,1
4289,189500,"II - Cagayan Valley",88749,"Wage/Salaries","0",9021,4404,4010,21672,12000,27602,11784,0,63867,"Male",40,"Married","Elementary Studies","With Job/Business","Tertiary Sector","Self-employed wihout any employee",8,1,3,4,"Single house",120,25,3,1,0,3,1
4290,64387,"VIII - Eastern Visayas",41920,"Enterpreneurial Activities","0",0,1208,390,18870,10800,4290,1722,24330,34550,"Male",64,"Married","No Studies","With Job/Business","Tertiary Sector","Self-employed wihout any employee",2,0,0,0,"Single house",52,8,2,1,0,0,0
4291,881482,"IVA - CALABARZON",158675,"Wage/Salaries","0",52816,1008,21650,145770,120000,93053,52058,0,0,"Male",47,"Married","High School Studies","With Job/Business","Tertiary Sector","Worked for private establishment",4,0,1,1,"Single house",70,17,3,1,1,4,1
4292,92791,"IX - Zasmboanga Peninsula",41788,"Wage/Salaries","0",925,0,1602,10050,6000,4900,4216,12145,12145,"Male",57,"Married","Elementary Studies","With Job/Business","Tertiary Sector","Worked for private establishment",6,1,1,1,"Single house",80,4,2,1,0,1,0
4293,645575,"IVB - MIMAROPA",100251,"Wage/Salaries","0",4910,2555,20305,53430,0,63406,88590,0,29400,"Male",35,"Married","Program Studies","With Job/Business","Tertiary Sector","Worked for government/government corporation",3,0,1,2,"Single house",100,2,3,1,0,2,1
4294,275080,"I - Ilocos Region",71500,"Other sources of Income","0",20704,0,7380,21780,15000,14961,4254,510,510,"Male",38,"Married","No Studies","With Job/Business","Primary Sector","Employer in own family-operated farm or business",3,0,2,0,"Single house",60,8,2,1,0,3,1
4295,45111,"VIII - Eastern Visayas",22489,"Wage/Salaries","1",720,4824,800,5274,3000,276,1416,0,0,"Male",52,"Single","Elementary Studies","With Job/Business","Primary Sector","Worked for private establishment",1,0,0,1,"Single house",8,1,0,0,0,0,0
4296,194910,"X - Northern Mindanao",50658,"Wage/Salaries","0",0,5414,800,10038,6000,2827,4041,0,0,"Male",42,"Single","No Studies","With Job/Business","Tertiary Sector","Worked for private establishment",3,0,0,2,"Single house",10,37,1,1,0,1,0
4297,39270,"XI - Davao Region",26027,"Other sources of Income","1",520,0,440,6840,4200,2509,1632,15000,15000,"Female",53,"Widowed","No Studies","With Job/Business","Primary Sector","Self-employed wihout any employee",2,0,0,0,"Single house",25,16,1,0,0,1,0
4298,76830,"II - Cagayan Valley",45825,"Wage/Salaries","1",5880,5830,770,13920,9000,6480,3232,0,0,"Male",53,"Married","High School Studies","With Job/Business","Primary Sector","Worked for private establishment",3,0,1,2,"Single house",30,8,0,0,0,0,0
4299,117953,"IX - Zasmboanga Peninsula",53512,"Wage/Salaries","0",2167,1915,2645,8130,4800,4670,8110,7379,11139,"Female",60,"Widowed","Elementary Studies","With Job/Business","Primary Sector","Self-employed wihout any employee",5,0,1,2,"Single house",43,1,2,1,0,1,0
4300,139146,"VI - Western Visayas",54135,"Other sources of Income","0",7010,0,7946,71892,54000,8219,3912,0,34896,"Male",54,"Widowed","Elementary Studies","With Job/Business","Tertiary Sector","Self-employed wihout any employee",2,0,1,0,"Single house",156,33,2,1,0,1,0
4301,294190,"V - Bicol Region",75651,"Enterpreneurial Activities","0",7377,7240,17278,40200,15000,19412,5812,70935,200197,"Male",50,"Married","Elementary Studies","With Job/Business","Tertiary Sector","Self-employed wihout any employee",4,0,1,1,"Single house",65,29,3,1,0,2,0
4302,876300,"NCR",123650,"Other sources of Income","2",46320,7240,45040,766500,720000,39443,18648,0,0,"Male",58,"Married","Program Studies","With Job/Business","Tertiary Sector","Worked for private establishment",4,1,0,1,"Single house",300,55,3,1,0,2,0
4303,266131,"VI - Western Visayas",89755,"Other sources of Income","0",18374,1020,8870,40308,24000,14698,10248,0,85456,"Male",44,"Married","Program Studies","With Job/Business","Tertiary Sector","Self-employed wihout any employee",5,0,2,0,"Single house",40,36,3,1,0,3,2
4304,98132,"CAR",69946,"Other sources of Income","1",0,8545,1870,22074,12000,1620,8646,17700,17700,"Male",60,"Married","High School Studies","With Job/Business","Primary Sector","Self-employed wihout any employee",3,0,0,3,"Single house",42,14,2,1,0,1,0
4305,38284,"IVB - MIMAROPA",13154,"Other sources of Income","0",5520,2190,130,7860,6000,262,624,5150,13320,"Female",74,"Widowed","No Studies","With Job/Business","Tertiary Sector","Self-employed wihout any employee",1,0,0,0,"Single house",24,7,1,1,0,0,0
4306,97615,"Caraga",34253,"Other sources of Income","0",120,1272,1590,38796,27000,7040,3282,0,9360,"Female",64,"Married","Elementary Studies","With Job/Business","Tertiary Sector","Self-employed wihout any employee",3,0,0,0,"Duplex",54,30,2,1,0,0,1
4307,363036,"NCR",78572,"Other sources of Income","2",36390,0,16806,170280,0,24768,26942,0,0,"Female",24,"Single","High School Studies","No Job/Business","No Occupation","Unemployed",3,0,0,1,"Multi-unit residential",54,6,1,1,0,3,0
4308,146511,"XI - Davao Region",79628,"Wage/Salaries","0",6175,9493,3878,18060,10800,8082,4482,0,50382,"Female",83,"Widowed","High School Studies","No Job/Business","No Occupation","Unemployed",8,0,2,4,"Single house",30,18,3,1,0,4,0
4309,281065,"VIII - Eastern Visayas",98656,"Wage/Salaries","0",8870,15384,3540,45186,21000,24286,20036,0,1792,"Male",66,"Married","Elementary Studies","No Job/Business","No Occupation","Unemployed",6,1,1,2,"Single house",20,5,1,1,0,3,1
4310,187000,"NCR",116797,"Wage/Salaries","2",17795,0,3263,74070,0,19384,13056,0,0,"Male",54,"Married","Elementary Studies","With Job/Business","Tertiary Sector","Worked for private establishment",3,0,1,1,"Single house",36,26,2,1,0,3,0
4311,128232,"IVA - CALABARZON",80432,"Wage/Salaries","0",7540,7652,2005,14820,6000,9458,10868,0,21660,"Male",43,"Married","Elementary Studies","With Job/Business","Secondary Sector","Worked for private establishment",5,0,3,2,"Single house",28,10,1,1,0,1,0
4312,264246,"NCR",80640,"Wage/Salaries","2",18995,0,1275,52692,30000,47695,14952,0,95240,"Female",42,"Married","Elementary Studies","With Job/Business","Tertiary Sector","Self-employed wihout any employee",10,0,5,2,"Single house",40,25,1,1,0,2,0
4313,170925,"III - Central Luzon",89304,"Wage/Salaries","0",0,0,5200,62178,42000,34716,11486,0,13700,"Female",79,"Widowed","No Studies","With Job/Business","Tertiary Sector","Self-employed wihout any employee",2,0,0,1,"Single house",100,50,3,1,0,1,0
4314,58451,"IVB - MIMAROPA",30409,"Other sources of Income","0",2862,0,1120,15534,12000,959,978,0,9090,"Male",81,"Married","No Studies","No Job/Business","No Occupation","Unemployed",3,0,1,0,"Single house",56,17,2,1,0,0,0
4315,219990,"IVA - CALABARZON",104044,"Wage/Salaries","0",47312,19731,895,35478,15000,7502,9690,0,22260,"Male",52,"Married","Elementary Studies","No Job/Business","No Occupation","Unemployed",5,0,2,2,"Single house",20,16,1,1,0,2,0
4316,168440,"V - Bicol Region",77564,"Wage/Salaries","0",3000,112,1559,31740,15000,16111,18998,0,0,"Female",68,"Widowed","No Studies","With Job/Business","Secondary Sector","Worked for private household",7,2,0,3,"Single house",80,47,3,1,0,3,0
4317,238439,"IX - Zasmboanga Peninsula",142470,"Wage/Salaries","0",55300,4995,1429,27978,18000,3406,12856,0,0,"Male",50,"Married","Elementary Studies","With Job/Business","Tertiary Sector","Worked for private establishment",6,2,1,2,"Single house",79,15,2,1,0,1,0
4318,106617,"VI - Western Visayas",33936,"Wage/Salaries","0",2700,2340,1880,9852,6000,15281,6980,0,0,"Male",29,"Married","High School Studies","With Job/Business","Tertiary Sector","Worked for private establishment",3,1,0,1,"Single house",80,1,2,1,0,1,0
4319,204494,"V - Bicol Region",72455,"Other sources of Income","0",1310,0,1965,19140,12000,5067,16326,0,27540,"Female",78,"Widowed","Program Studies","No Job/Business","No Occupation","Unemployed",6,1,2,1,"Single house",27,63,2,1,0,2,1
4320,239004," ARMM",91616,"Wage/Salaries","0",4100,1560,2500,45630,27000,5690,5208,0,67500,"Male",43,"Married","High School Studies","With Job/Business","Tertiary Sector","Worked for private establishment",9,1,3,3,"Duplex",96,35,3,1,0,2,0
4321,117420,"VII - Central Visayas",81746,"Wage/Salaries","0",8510,2630,4510,43092,15000,31650,10621,0,0,"Male",40,"Married","No Studies","With Job/Business","Tertiary Sector","Worked for private establishment",6,0,4,1,"Single house",40,10,1,1,0,4,1
4322,181140,"IVB - MIMAROPA",52835,"Enterpreneurial Activities","1",300,0,1340,7380,3300,5375,4914,0,91090,"Female",67,"Widowed","High School Studies","With Job/Business","Tertiary Sector","Self-employed wihout any employee",3,0,0,1,"Single house",12,13,0,0,0,0,0
4323,345239,"X - Northern Mindanao",57981,"Wage/Salaries","0",5520,905,1130,19590,12000,16137,5186,39780,132212,"Male",53,"Married","High School Studies","With Job/Business","Secondary Sector","Worked for private establishment",7,2,0,2,"Duplex",100,22,1,1,0,4,0
4324,256792,"X - Northern Mindanao",124123,"Enterpreneurial Activities","0",3030,1666,1492,39600,24000,16451,9318,3000,134948,"Male",46,"Married","Elementary Studies","With Job/Business","Tertiary Sector","Worked for private establishment",8,0,5,2,"Single house",30,9,2,1,0,3,0
4325,65369,"VIII - Eastern Visayas",48465,"Enterpreneurial Activities","1",3680,652,365,12366,4800,4493,4122,45719,48519,"Male",31,"Married","High School Studies","With Job/Business","Primary Sector","Self-employed wihout any employee",4,2,0,0,"Single house",12,1,1,0,0,2,0
4326,312548," ARMM",82761,"Wage/Salaries","0",5600,780,7752,28950,24000,8602,35832,0,0,"Male",64,"Married","Program Studies","No Job/Business","No Occupation","Unemployed",3,0,1,1,"Single house",100,36,2,0,0,2,0
4327,1065628,"CAR",223951,"Wage/Salaries","0",42410,0,18241,123360,0,247863,70972,0,253003,"Male",67,"Married","Program Studies","No Job/Business","No Occupation","Unemployed",12,2,1,4,"Multi-unit residential",60,35,5,1,1,10,0
4328,140940,"IX - Zasmboanga Peninsula",64439,"Other sources of Income","1",20400,2700,1655,7548,4200,21175,9718,27365,27365,"Male",53,"Married","High School Studies","With Job/Business","Primary Sector","Self-employed wihout any employee",4,0,1,1,"Single house",30,15,2,1,0,1,0
4329,67147,"V - Bicol Region",37231,"Other sources of Income","0",6500,260,1620,9198,4800,2995,7238,5195,7050,"Male",71,"Married","Elementary Studies","With Job/Business","Tertiary Sector","Self-employed wihout any employee",2,0,0,0,"Single house",63,14,1,1,0,1,0
4330,50314,"IX - Zasmboanga Peninsula",14357,"Enterpreneurial Activities","0",0,0,975,9828,4200,1082,684,0,25200,"Male",72,"Married","Elementary Studies","With Job/Business","Tertiary Sector","Self-employed wihout any employee",2,0,0,0,"Single house",11,1,1,0,0,1,0
4331,127610,"CAR",37099,"Wage/Salaries","0",18480,1165,0,26166,21000,2100,2534,0,0,"Female",73,"Widowed","No Studies","No Job/Business","No Occupation","Unemployed",3,0,0,2,"Single house",18,50,1,1,0,1,0
4332,744080,"Caraga",73590,"Wage/Salaries","0",2400,1620,15319,48096,24000,24860,52708,0,0,"Male",49,"Married","Program Studies","With Job/Business","Tertiary Sector","Worked for government/government corporation",2,0,0,2,"Single house",160,17,3,1,1,5,1
4333,1465980,"III - Central Luzon",341566,"Other sources of Income","0",34815,29380,37160,285360,132000,210364,101108,0,0,"Female",50,"Divorced/Separated","Program Studies","No Job/Business","No Occupation","Unemployed",2,0,1,0,"Single house",450,9,5,1,1,2,1
4334,442800,"X - Northern Mindanao",108967,"Wage/Salaries","0",59580,0,8761,65268,57000,47714,15900,0,0,"Female",28,"Single","Program Studies","With Job/Business","Tertiary Sector","Worked for government/government corporation",1,0,0,1,"Single house",50,13,1,1,0,1,0
4335,365008,"X - Northern Mindanao",77640,"Wage/Salaries","0",10072,3640,2585,26460,18000,50036,25242,0,96750,"Male",51,"Married","High School Studies","With Job/Business","Tertiary Sector","Worked for government/government corporation",7,1,2,2,"Single house",27,33,2,1,0,3,2
4336,63205,"Caraga",46792,"Wage/Salaries","1",1620,7765,395,5064,1500,3927,2564,18040,18040,"Male",37,"Married","No Studies","With Job/Business","Tertiary Sector","Worked for private establishment",7,3,2,1,"Single house",20,6,1,1,0,0,0
4337,80760,"VI - Western Visayas",42581,"Enterpreneurial Activities","1",3100,0,260,18300,12000,5772,4910,2010,47760,"Male",46,"Married","High School Studies","With Job/Business","Primary Sector","Self-employed wihout any employee",3,0,1,0,"Single house",80,6,2,1,0,0,0
4338,111469,"XII - SOCCSKSARGEN",74121,"Wage/Salaries","1",0,1085,410,25698,13800,8612,3310,21828,21828,"Male",49,"Married","No Studies","With Job/Business","Primary Sector","Worked for private household",11,2,4,2,"Single house",32,8,4,1,0,1,0
